#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
870419	801	381290	107252	237859	-	-	CALM1	Atp2b4	CALML2|CAMI|CPVT4|DD132|PHKD|caM	Pmca4	Affinity Capture-MS	physical	Berggard T (2006)	PUBMED:16512683	9606	10090	High Throughput	-	-	-	-	BIOGRID	P62158	B4DJ51|E7ETZ0	NP_001350598|NP_001350599|NP_008819	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Homo sapiens	Mus musculus
2340124	59026	381290	208493	237859	RP23-211L10.4	-	Huwe1	Atp2b4	5430439H10Rik|AU041296|Arf-bp1|C430014N20Rik|C80292|Gm1718|Ib772|LASU1|Mule|Ureb1	Pmca4	Affinity Capture-MS	physical	Li J (2017)	PUBMED:28671696	10090	10090	High Throughput	-	-	Adult non-postsynaptic density (PSD)	-	BIOGRID	Q7TMY8	A2AFQ0|Q4JG03|Q3TNP1	NP_067498	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2341924	211651	381290	229254	237859	-	-	Fancd2	Atp2b4	2410150O07Rik|AU015151|BB137857|FA-D2|FA4|FACD|FAD|FANCD	Pmca4	Affinity Capture-MS	physical	Zhang T (2017)	PUBMED:28378742	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q80V62	B2RSU4|Q3UQJ0	NP_001028416	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2497963	11186	381290	116356	237859	-	-	RASSF1	Atp2b4	123F2|NORE2A|RASSF1A|RDA32|REH3P21	Pmca4	Reconstituted Complex	physical	Armesilla AL (2004)	PUBMED:15145946	9606	10090	Low Throughput	-	-	-	-	BIOGRID	Q9NS23	-	NP_001193886|NP_733832|NP_009113|NP_733830|NP_733831	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Homo sapiens	Mus musculus
2534636	217124	381290	229847	237859	RP23-112C19.3	-	Ppp1r9b	Atp2b4	SPL|Spn	Pmca4	Affinity Capture-MS	physical	Watkins DS (2018)	PUBMED:30562941	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q6R891	-	NP_758465	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2632722	21841	381290	204190	237859	-	-	Tia1	Atp2b4	2310050N03Rik|AI256674|TIA-1|mTIA-1	Pmca4	Affinity Capture-MS	physical	Vanderweyde T (2016)	PUBMED:27160897	10090	10090	High Throughput	-	-	-	-	BIOGRID	P52912	G5E8L2|Q80ZW7|Q564E7|Q8CII5	NP_001157551|NP_001157550|NP_035715	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2634886	17762	381290	201589	237859	RP23-136D4.1	-	Mapt	Atp2b4	AI413597|AW045860|Mtapt|Tau	Pmca4	Affinity Capture-MS	physical	Maziuk BF (2018)	PUBMED:30068389	10090	10090	High Throughput	-	-	-	-	BIOGRID	P10637	Q3UH19|Q547J4|Q8C5K4	NP_034968|NP_001272384|NP_001272385|NP_001272383|NP_001033698	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662024	381290	212647	237859	229346	-	RP23-334I5.1	Atp2b4	Aldh4a1	Pmca4	A930035F14Rik|Ahd-1|Ahd1|Aldh4|Aldh5a1|E330022C09|P5cd|P5cdh|P5cdhl|P5cdhs|Ssdh1	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.807	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	Q8CHT0	-	NP_780647	-	-	-	-	-	-	Mus musculus	Mus musculus
2662027	381290	214579	237859	229542	-	RP23-92G13.10-001	Atp2b4	Aldh5a1	Pmca4	6330403E24Rik|Ahd-1|Ahd1|D630032B01Rik|OTTMUSG00000000613|SSADH|Ssdh1	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.802	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	Q8BWF0	B2RS41	NP_766120	-	-	-	-	-	-	Mus musculus	Mus musculus
2662215	381290	11941	237859	198250	-	-	Atp2b4	Atp2b2	Pmca4	D6Abb2e|Gena300|PMCA2|Tmy|dfw|jog|wms|wri	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.835	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	Q9R0K7	Q3UHJ3|Q3UHH0	NP_001031761|NP_033853	-	-	-	-	-	-	Mus musculus	Mus musculus
2662217	11764	381290	198122	237859	RP23-64E17.3	-	Ap1b1	Atp2b4	Adtb1|b2b1660Clo	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.734	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	O35643	Q8CC13	NP_031480|NP_001229973|NP_001229972	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662218	12361	381290	198491	237859	RP23-278L4.1	-	Cask	Atp2b4	DXPri1|DXRib1|LIN-2|Pals3|mLin-2	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.889	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	O70589	B9EJ23	NP_001271433|NP_001271432|NP_033936|NP_001271434	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662219	19025	381290	202325	237859	RP23-61O3.6	-	Ctsa	Atp2b4	AU019505|PPCA|Ppgb	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.833	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	P16675	Q9D2D1|G3X8T3|Q544R6	NP_001033581|NP_032932	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662220	13385	381290	199230	237859	RP23-172M21.9	-	Dlg4	Atp2b4	Dlgh4|PSD-95|PSD95|SAP90|SAP90A	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.74	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	Q62108	-	NP_031890|NP_001103222	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662221	11758	381290	198118	237859	-	-	Prdx6	Atp2b4	1-cysPrx|9430088D19Rik|AA690119|Aop2|Aop2-rs3|Brp-12|CC26|CP-3|GPx|Ltw-4|Ltw4|Lvtw-4|NSGP|NSGPx|ORF06|Prdx5|Prdx6-rs3|aiPLA2|mKIAA0106	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.749	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	O08709	D3Z0Y2|Q6GT24	NP_001290337|NP_031479	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662222	20866	381290	203538	237859	-	-	Stim1	Atp2b4	SIM	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.808	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	P70302	-	NP_033313	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662223	22214	381290	204417	237859	-	-	Ube2h	Atp2b4	1500009C23Rik|AI181839|AI326965|AI462483|AW227540|E2-20K|Gid3|N28148|Ubc8	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.732	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	P62257	E9Q3U1|Q3V2N4|Q3TTE3	NP_001163047|NP_001163048|NP_033485	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
2662224	102448	381290	221878	237859	-	-	Xylb	Atp2b4	AI132223|AI327421	Pmca4	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.724	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	Q3TNA1	Q3TMS3	NP_001028381|NP_001186497	-	F7AAP4|E9Q828|D1FNM8|D1FNM9|Q32ME1|Q6Q477|Q3UPA8	NP_998781|NP_001161421	-	-	-	-	-	-	Mus musculus	Mus musculus
