#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
437394	13429	16563	199257	200938	RP23-161B9.8	-	Dnm1	Kif2a	AI838169|Dnm|Ftfl|mKIAA4093	C530030B14Rik|Kif2|Kns2|M-kinesin	Affinity Capture-Western	physical	Kim JY (2010)	PUBMED:20037577	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P39053	-	NP_034195|NP_001288666	P28740	Q9D481|E0CZ72	NP_001139251|NP_032468	-	-	-	-	-	-	Mus musculus	Mus musculus
437395	13429	16572	199257	200945	RP23-161B9.8	-	Dnm1	Kif5a	AI838169|Dnm|Ftfl|mKIAA4093	D10Bwg0738e|Khc|Kif5|Kns|mKIAA4086	Affinity Capture-Western	physical	Kim JY (2010)	PUBMED:20037577	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P39053	-	NP_034195|NP_001288666	P33175	Q3US62	NP_001034089|NP_032473	-	-	-	-	-	-	Mus musculus	Mus musculus
437396	13429	22142	199257	204372	RP23-161B9.8	-	Dnm1	Tuba1a	AI838169|Dnm|Ftfl|mKIAA4093	Tuba-1|Tuba1	Affinity Capture-Western	physical	Kim JY (2010)	PUBMED:20037577	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P39053	-	NP_034195|NP_001288666	P68369	-	NP_035783	-	-	-	-	-	-	Mus musculus	Mus musculus
568190	18645	13429	202127	199257	-	RP23-161B9.8	Pfn2	Dnm1	Pfn	AI838169|Dnm|Ftfl|mKIAA4093	Affinity Capture-MS	physical	Witke W (1998)	PUBMED:9463375	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9JJV2	-	NP_062283	P39053	-	NP_034195|NP_001288666	-	-	-	-	-	-	Mus musculus	Mus musculus
568196	13429	13429	199257	199257	RP23-161B9.8	RP23-161B9.8	Dnm1	Dnm1	AI838169|Dnm|Ftfl|mKIAA4093	AI838169|Dnm|Ftfl|mKIAA4093	Reconstituted Complex	physical	Witke W (1998)	PUBMED:9463375	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P39053	-	NP_034195|NP_001288666	P39053	-	NP_034195|NP_001288666	-	-	-	-	-	-	Mus musculus	Mus musculus
670894	13429	20404	199257	203206	RP23-161B9.8	RP23-158E10.3	Dnm1	Sh3gl2	AI838169|Dnm|Ftfl|mKIAA4093	9530001L19Rik|AI120490|AW555077|B930049H17Rik|EEN-B1|SH3PA|Sh3d2a	Affinity Capture-Western	physical	Gortat A (2012)	PUBMED:22167186	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P39053	-	NP_034195|NP_001288666	Q62420	-	NP_062408	-	-	-	-	-	-	Mus musculus	Mus musculus
670895	13429	20405	199257	203207	RP23-161B9.8	-	Dnm1	Sh3gl1	AI838169|Dnm|Ftfl|mKIAA4093	C77078|EEN|SH3P8|Sh3d2b	Affinity Capture-Western	physical	Gortat A (2012)	PUBMED:22167186	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P39053	-	NP_034195|NP_001288666	Q62419	Q3TRJ7	NP_038692|NP_001239400	-	-	-	-	-	-	Mus musculus	Mus musculus
670902	16443	13429	200851	199257	-	RP23-161B9.8	Itsn1	Dnm1	AA517634|AA545208|AI316805|AI839402|AI848451|Ehsh1|Ese1|Itsn|Sh3p17	AI838169|Dnm|Ftfl|mKIAA4093	Affinity Capture-Western	physical	Dergai M (2011)	PUBMED:21712076	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9Z0R4	Q8C4B5|Q6NZJ5|E9Q0N0	NP_034717|NP_001103746|NP_001103745	P39053	-	NP_034195|NP_001288666	-	-	-	-	-	-	Mus musculus	Mus musculus
670963	18643	13429	202126	199257	DN-183N8.15-001	RP23-161B9.8	Pfn1	Dnm1	Pfn	AI838169|Dnm|Ftfl|mKIAA4093	Affinity Capture-Western	physical	Gareus R (2006)	PUBMED:16319076	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P62962	Q3U7V7|Q5SX50	NP_035202	P39053	-	NP_034195|NP_001288666	-	-	-	-	-	-	Mus musculus	Mus musculus
670964	18645	13429	202127	199257	-	RP23-161B9.8	Pfn2	Dnm1	Pfn	AI838169|Dnm|Ftfl|mKIAA4093	Affinity Capture-Western	physical	Gareus R (2006)	PUBMED:16319076	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9JJV2	-	NP_062283	P39053	-	NP_034195|NP_001288666	-	-	-	-	-	-	Mus musculus	Mus musculus
