#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
270913	9839	10980	115175	116176	HRIHFB2411	-	ZEB2	COPS6	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	CSN6|MOV34-34KD	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q7L5N1	-	NP_006824	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467959	1050	9839	107479	115175	-	HRIHFB2411	CEBPA	ZEB2	C/EBP-alpha|CEBP	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	Affinity Capture-MS	physical	Zada AA (2006)	PUBMED:17082780	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49715	-	NP_001272758|NP_001274353|NP_001274364|NP_004355	O60315	-	NP_055610|NP_001165124	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513860	9839	9112	115175	114562	HRIHFB2411	-	ZEB2	MTA1	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	-	Affinity Capture-Western	physical	Verstappen G (2008)	PUBMED:18182442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q13330	Q9BRL8	NP_004680|NP_001190187	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513861	9839	9219	115175	114652	HRIHFB2411	-	ZEB2	MTA2	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	MTA1L1|PID	Affinity Capture-Western	physical	Verstappen G (2008)	PUBMED:18182442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	O94776	A0A024R534	NP_001317221|NP_004730	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513862	9839	3065	115175	109315	HRIHFB2411	RP4-811H24.2	ZEB2	HDAC1	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Verstappen G (2008)	PUBMED:18182442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513863	9839	3066	115175	109316	HRIHFB2411	-	ZEB2	HDAC2	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Verstappen G (2008)	PUBMED:18182442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q92769	-	NP_001518	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513864	9839	5928	115175	111863	HRIHFB2411	-	ZEB2	RBBP4	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	NURF55|RBAP48|lin-53	Affinity Capture-Western	physical	Verstappen G (2008)	PUBMED:18182442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q09028	-	NP_001128728|NP_005601|NP_001128727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513865	9839	5931	115175	111866	HRIHFB2411	RP11-716A19.5	ZEB2	RBBP7	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	RbAp46	Affinity Capture-Western	physical	Verstappen G (2008)	PUBMED:18182442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q16576	Q6FHQ0	NP_001185648|NP_002884	-	-	-	-	-	-	Homo sapiens	Homo sapiens
663017	1994	9839	108309	115175	-	HRIHFB2411	ELAVL1	ZEB2	ELAV1|HUR|Hua|MelG	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	O60315	-	NP_055610|NP_001165124	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
677923	9839	1487	115175	107869	HRIHFB2411	-	ZEB2	CTBP1	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	BARS	Affinity Capture-Western	physical	Long J (2005)	PUBMED:16061479	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60315	-	NP_055610|NP_001165124	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
